A=3415 B=6068 C=7056 X=224660391 Y=9266691507 Z=51386989514 M=7303
A=6074 B=6992 C=8489 X=534571463 Y=5028165385 Z=74403548910 M=9464
A=4229 B=6182 C=6216 X=499197953 Y=9072636230 Z=90731927031 M=2273
A=6169 B=5740 C=7380 X=866266069 Y=8488405709 Z=73571753929 M=8173
A=5703 B=4028 C=5414 X=382328630 Y=4015700004 Z=96516611038 M=6154
A=3396 B=5290 C=5905 X=918324282 Y=5359988295 Z=25887883371 M=5968
A=3324 B=8481 C=7510 X=455832408 Y=5369204269 Z=15878532351 M=7884
A=9839 B=8060 C=6955 X=795272398 Y=1044065867 Z=66705591938 M=7670
A=3494 B=3872 C=7649 X=870680800 Y=4569127555 Z=73566399275 M=8811
A=7475 B=6847 C=6912 X=365636794 Y=3476920099 Z=60671475287 M=4560
A=8948 B=3820 C=9394 X=417985125 Y=5124033292 Z=81366564852 M=2085
A=5928 B=9046 C=6527 X=737971274 Y=6424798624 Z=51393945104 M=5272
A=7384 B=7606 C=9185 X=410025898 Y=2411963008 Z=21812030613 M=3471
A=9594 B=9005 C=6696 X=377130135 Y=2433674405 Z=83766456787 M=8370
A=7620 B=9659 C=7757 X=282911478 Y=4486561015 Z=33596464956 M=6465
A=4571 B=7043 C=5924 X=130176900 Y=3395592607 Z=55185833265 M=7509
A=2171 B=9816 C=6732 X=343598240 Y=9642094699 Z=63927212774 M=4868
A=5426 B=9472 C=9226 X=220113379 Y=7063580043 Z=77050071071 M=8443
A=3676 B=6572 C=6120 X=323457361 Y=6739704295 Z=16835405123 M=9891
A=8766 B=9729 C=6458 X=114216754 Y=2230655397 Z=61156959657 M=4691
A=7904 B=9177 C=7790 X=343863587 Y=2276550638 Z=58546289461 M=2243
A=6181 B=7633 C=9063 X=275710457 Y=3093406810 Z=92106635720 M=8989
A=5536 B=4547 C=5873 X=170491605 Y=9728966855 Z=28894729957 M=1010
A=5539 B=9287 C=6168 X=778533864 Y=5813335036 Z=29534923934 M=8043
A=9799 B=7340 C=9831 X=614278880 Y=5379353079 Z=85922365865 M=1850
A=5018 B=6512 C=5153 X=642770254 Y=4778751798 Z=46628024860 M=3515
A=7269 B=9947 C=5457 X=409764049 Y=3815766078 Z=56505459021 M=3579
A=4247 B=8385 C=6639 X=600795589 Y=9381838892 Z=26326563130 M=4125
A=7082 B=3249 C=6092 X=162532306 Y=8551207759 Z=42236624150 M=3367
A=6116 B=4449 C=8938 X=266507924 Y=5709747633 Z=16737585022 M=9996
A=7752 B=8264 C=7146 X=958424325 Y=4329872839 Z=70169198544 M=4164
A=3668 B=4842 C=9781 X=865871789 Y=8174106086 Z=66368488453 M=9283
A=5462 B=9675 C=9530 X=619346102 Y=7232683788 Z=13806235537 M=8981
A=2366 B=5379 C=5322 X=518799236 Y=3989873143 Z=50421470092 M=1249
A=6319 B=3121 C=8252 X=926318377 Y=9973147503 Z=10727382727 M=9739
A=8079 B=5247 C=6960 X=246943728 Y=5640631196 Z=88046551837 M=9001
A=3233 B=4381 C=9433 X=487070676 Y=5342745505 Z=11430359660 M=6863
A=3602 B=9483 C=8798 X=227381032 Y=4135432432 Z=15203571071 M=7930
A=4011 B=5000 C=8270 X=251579785 Y=1249243975 Z=83331275916 M=1655
A=2065 B=3210 C=8787 X=994468853 Y=6578204916 Z=27667311837 M=3884
A=4177 B=7500 C=7341 X=319406253 Y=9022523102 Z=77675200966 M=4666
A=2184 B=6638 C=5422 X=910553407 Y=5445353067 Z=27163134308 M=2204
A=7980 B=9980 C=5597 X=198588818 Y=3017095432 Z=33878233080 M=6594
A=6193 B=6264 C=7255 X=638342335 Y=7069346759 Z=16830874701 M=9033
A=4534 B=3155 C=8279 X=420687486 Y=8298512706 Z=62567348394 M=3657
A=6858 B=7701 C=7546 X=201591235 Y=4288130910 Z=67908258036 M=5337
A=9905 B=5118 C=8362 X=871214946 Y=7995356742 Z=41345296243 M=8001
A=7862 B=5545 C=5359 X=287998718 Y=9037000048 Z=70982960354 M=4698
A=6806 B=6905 C=9697 X=407024924 Y=9615975009 Z=91747420308 M=2907
A=4366 B=7553 C=9689 X=244964198 Y=4001689440 Z=79816719003 M=8455
A=8924 B=6660 C=8886 X=127758713 Y=3853720525 Z=75411121337 M=1130
A=9249 B=9410 C=5312 X=896474452 Y=7024055260 Z=20519049602 M=8895
A=2618 B=3538 C=7026 X=380688505 Y=9936488358 Z=41139374112 M=3645
A=9857 B=6377 C=6180 X=261088232 Y=6523835447 Z=63239967363 M=4437
A=2358 B=8406 C=8776 X=918887373 Y=3687875552 Z=64462735190 M=5366
A=5189 B=6140 C=7276 X=831891366 Y=6527903577 Z=16849750455 M=7598
A=4948 B=9550 C=5591 X=636897923 Y=7422548247 Z=41799054875 M=8873
A=8726 B=8909 C=5012 X=925266036 Y=2448122850 Z=59392452994 M=4217
A=7868 B=6424 C=5495 X=643185606 Y=4669146284 Z=10487034962 M=8742
A=6726 B=3234 C=9524 X=261818377 Y=3537277225 Z=48355334868 M=5166
A=6101 B=4140 C=8043 X=498567709 Y=7995148833 Z=35181083899 M=1358
A=2086 B=6466 C=6671 X=587656953 Y=3335023879 Z=98260515330 M=7068
A=8245 B=6652 C=8972 X=342282510 Y=9474099841 Z=16505898342 M=9349
A=3722 B=8504 C=9134 X=282138539 Y=5601985859 Z=71027879698 M=4328
A=2373 B=8241 C=7941 X=714335920 Y=5722868388 Z=69325446397 M=4756
A=8748 B=8555 C=8855 X=274286423 Y=6478582148 Z=61480610994 M=8473
A=5666 B=9593 C=5742 X=812780970 Y=4140208144 Z=91367877091 M=5597
A=9117 B=4299 C=8889 X=459067929 Y=3900323113 Z=73772461927 M=7650
A=7767 B=5096 C=7928 X=294918440 Y=7139941496 Z=33851764011 M=1088
A=6495 B=3706 C=9806 X=616750457 Y=4368608154 Z=61386164000 M=1536
A=7548 B=3996 C=9097 X=761742748 Y=9711851777 Z=99992446319 M=3126
A=2276 B=3715 C=8276 X=314862905 Y=3535559656 Z=94655687822 M=8441
A=4084 B=5570 C=7798 X=434135236 Y=1833222708 Z=26423301769 M=8105
A=3146 B=5507 C=5731 X=927619150 Y=3012321745 Z=21050173923 M=5260
A=7475 B=5403 C=9659 X=188187817 Y=8000179031 Z=65634193573 M=8882
A=6681 B=5364 C=7852 X=427946010 Y=5345761248 Z=63860992450 M=3275
A=8980 B=7069 C=8885 X=644332756 Y=2902809819 Z=30627058183 M=9981
A=5082 B=8064 C=9058 X=236810217 Y=2599276843 Z=90572940880 M=3480
A=7475 B=4395 C=9318 X=656149933 Y=8982611472 Z=95037055577 M=9298
A=7793 B=6581 C=5612 X=144728334 Y=8156565747 Z=98851896776 M=6155
A=4352 B=3052 C=6717 X=586431981 Y=5322129078 Z=39359030012 M=8906
A=8901 B=5869 C=7512 X=893352341 Y=2032554402 Z=31927508367 M=6906
A=4384 B=6370 C=8760 X=983028288 Y=2109166625 Z=92951341870 M=6983
A=3976 B=5287 C=6586 X=266765952 Y=7667900282 Z=74365211253 M=4539
A=4855 B=3725 C=6440 X=723514531 Y=7245898534 Z=33514290325 M=5223
A=2055 B=4442 C=7932 X=558846242 Y=3442783730 Z=54322363556 M=9505
A=2844 B=3564 C=5165 X=189832164 Y=2025153358 Z=49098488527 M=6871
A=5642 B=6979 C=9610 X=550695125 Y=5215435889 Z=24160286876 M=4953
A=5868 B=6883 C=6387 X=258464704 Y=6036322021 Z=40137132498 M=5093
A=4753 B=9226 C=6064 X=576073766 Y=3308866244 Z=24720560820 M=4377
A=4639 B=4252 C=5651 X=394320902 Y=7214652893 Z=30476360558 M=5512
A=3228 B=3126 C=6991 X=589086449 Y=3273126470 Z=80394356853 M=2369
A=8472 B=3342 C=8087 X=604752037 Y=3935592605 Z=32819538663 M=9245
A=9889 B=9363 C=6744 X=423351166 Y=6278128612 Z=44419147793 M=7196
A=9728 B=4376 C=9399 X=471558126 Y=6525580065 Z=69130529327 M=2821
A=5169 B=6812 C=8568 X=610714948 Y=2237755973 Z=93921108321 M=7386
A=5960 B=8021 C=6453 X=520362360 Y=4896573044 Z=99426676058 M=3481
A=9997 B=5125 C=8415 X=965549027 Y=7839173224 Z=88362780836 M=7201
A=3467 B=3407 C=5654 X=268611631 Y=8408284391 Z=43977102579 M=5825
A=7004 B=6706 C=7950 X=194051253 Y=7003492833 Z=15532553419 M=1655
A=3037 B=5330 C=7568 X=198649524 Y=9865299014 Z=30649596753 M=3735
A=2627 B=8606 C=8623 X=503557126 Y=1890359129 Z=99758786684 M=5486
A=6451 B=4342 C=5374 X=895052735 Y=9285178606 Z=19509179389 M=7205
A=9310 B=9987 C=8610 X=897867228 Y=5296053327 Z=69062218376 M=8874
A=9480 B=9334 C=6231 X=588894672 Y=3749312319 Z=11833138772 M=5140
A=4535 B=4242 C=7841 X=731213120 Y=2128222766 Z=21883311294 M=2260
A=4534 B=4762 C=9449 X=331357544 Y=7457835335 Z=36187508752 M=1578
A=4242 B=5856 C=6949 X=722924243 Y=2190020307 Z=93644466622 M=9892
A=2095 B=8722 C=9036 X=243133928 Y=8147677344 Z=74718634037 M=3399
A=3980 B=9661 C=8984 X=771960106 Y=6366838572 Z=78231863837 M=3911
A=4785 B=3310 C=6246 X=100099402 Y=6788200611 Z=86336581092 M=5838
A=6447 B=7987 C=8493 X=857584185 Y=1446939924 Z=90308955547 M=1272
A=5768 B=4166 C=8224 X=306483371 Y=7544658942 Z=53288693563 M=4355
A=5552 B=3353 C=7172 X=605624898 Y=2178102968 Z=52653803892 M=9212
A=5403 B=5914 C=9948 X=826033236 Y=1981175554 Z=14577977990 M=3922
A=8187 B=8870 C=5700 X=152059989 Y=6437104737 Z=18974256807 M=2166
A=3004 B=6953 C=9783 X=139218978 Y=6541882461 Z=50496508567 M=8237
A=7830 B=3592 C=7078 X=551026053 Y=1690372124 Z=17378375425 M=7337
A=8860 B=6875 C=6752 X=664186829 Y=2003026734 Z=75100186441 M=1986
A=7677 B=8194 C=5794 X=602326185 Y=9345229303 Z=15422757539 M=9571
A=3285 B=3709 C=9546 X=499086418 Y=8285946019 Z=99612588361 M=1536
A=2173 B=3273 C=7832 X=328359920 Y=5376114338 Z=69034875688 M=9728
A=6418 B=5005 C=7573 X=586413251 Y=3731891206 Z=42581140654 M=6057
A=4607 B=9026 C=9786 X=735484432 Y=1985771969 Z=83517031914 M=6260
A=6759 B=3712 C=7464 X=103507150 Y=8178947752 Z=94625514821 M=4324
A=9101 B=6422 C=5922 X=808940619 Y=4947986350 Z=50234983054 M=2347
A=6044 B=9449 C=8688 X=766124881 Y=6309480952 Z=88765746686 M=1127
A=3902 B=8900 C=5944 X=765983012 Y=4147641776 Z=38240073335 M=5804
A=2515 B=8158 C=7171 X=571065680 Y=2585204741 Z=62543964131 M=8851
A=4465 B=8819 C=7059 X=577293075 Y=7152333751 Z=70184964062 M=9939
A=6675 B=9311 C=7508 X=453212044 Y=5882602125 Z=26245051816 M=8860
A=3978 B=3745 C=8523 X=826554130 Y=3566160163 Z=27088607996 M=5528
A=6453 B=8271 C=5780 X=774450957 Y=1096955278 Z=22181202250 M=9456
A=2162 B=3521 C=7430 X=474617292 Y=4511646061 Z=51855075734 M=4811
A=8787 B=9824 C=5144 X=566590857 Y=9774353383 Z=58711546073 M=3036
A=2084 B=7962 C=6346 X=208519860 Y=8018059259 Z=21458480974 M=6003
A=3773 B=3655 C=7871 X=780754191 Y=3474632518 Z=28646877157 M=6587
A=3293 B=5435 C=6787 X=730654500 Y=6494981837 Z=46328712866 M=4596
A=6144 B=4775 C=7948 X=908040921 Y=6427117646 Z=92139050181 M=5076
A=8625 B=4736 C=5031 X=571011156 Y=3490483000 Z=77860219681 M=6727
A=7916 B=3637 C=7594 X=652037060 Y=6970717501 Z=39722923538 M=2260
A=7362 B=6675 C=9031 X=486812303 Y=3189334422 Z=23214731050 M=1077
A=6767 B=4730 C=8961 X=227355827 Y=3402380953 Z=30949043025 M=8477
A=9224 B=4501 C=8434 X=848334797 Y=1408014091 Z=96991833353 M=3243
A=2350 B=3973 C=7514 X=353640747 Y=9952286926 Z=16152580156 M=2984
A=8628 B=9945 C=8532 X=485356263 Y=8119314481 Z=52418263664 M=2082
A=6289 B=8949 C=7083 X=565450439 Y=9003858907 Z=37955724890 M=1397
A=6114 B=8534 C=8974 X=348354311 Y=4782049349 Z=66556268379 M=4112
A=2765 B=7500 C=6720 X=264822955 Y=4882001358 Z=15563122144 M=9028
A=3486 B=6967 C=8760 X=641487644 Y=4982175613 Z=83500872894 M=2484
A=2778 B=7289 C=9487 X=741216597 Y=3770844043 Z=44617519114 M=2457
A=9749 B=8940 C=8530 X=547119330 Y=5940333912 Z=99616037167 M=3363
A=2008 B=6322 C=8648 X=637436095 Y=5176964010 Z=81664592372 M=5399
A=8794 B=7987 C=8497 X=192168546 Y=5771504637 Z=71053174793 M=1064
A=9426 B=8532 C=7004 X=658978601 Y=7882737805 Z=50222398746 M=3927
A=9097 B=6365 C=8138 X=628370622 Y=4244955234 Z=38359053111 M=5926
A=7027 B=3430 C=9395 X=898927953 Y=4583333980 Z=43779660719 M=1972
A=5215 B=5802 C=7263 X=571600643 Y=4188083219 Z=26159393449 M=1403
A=3448 B=4520 C=5068 X=817958378 Y=9301835611 Z=16336667139 M=5116
A=5926 B=3794 C=7999 X=998480122 Y=1316728868 Z=77396024463 M=3522
A=2397 B=8210 C=6029 X=727949672 Y=3347226281 Z=32000003978 M=8370
A=3092 B=7668 C=8645 X=833642470 Y=7441386795 Z=45021697130 M=6930
A=8876 B=4642 C=5065 X=196278451 Y=3091557758 Z=35887477929 M=6643
A=4611 B=6838 C=8221 X=142962827 Y=5169362871 Z=64043064579 M=5430
A=2537 B=4320 C=8355 X=863896838 Y=4960309416 Z=16547002835 M=8542
A=5294 B=6383 C=7789 X=631543655 Y=8471530686 Z=39650237820 M=8160
A=7083 B=4552 C=5966 X=757171314 Y=1144175910 Z=54158145580 M=5701
A=9170 B=3606 C=9502 X=935369563 Y=2912529678 Z=93058776589 M=9427
A=9429 B=8152 C=5142 X=474194705 Y=3223433957 Z=75527975250 M=5605
A=8157 B=9488 C=8649 X=844215861 Y=7531740198 Z=81518806512 M=3618
A=4724 B=6263 C=6177 X=901347329 Y=9628706366 Z=25594437342 M=1644
A=6445 B=4723 C=5776 X=752350516 Y=1770612375 Z=76967456448 M=2024
A=3695 B=3198 C=5360 X=841069624 Y=1512767393 Z=72239303650 M=2087
A=4298 B=6077 C=8168 X=200933565 Y=3578777541 Z=94489337445 M=3411
A=9050 B=9269 C=6651 X=994956826 Y=1931099599 Z=28493993113 M=4720
A=5832 B=6050 C=6778 X=636034703 Y=8558563643 Z=99062607014 M=6947
A=4735 B=6471 C=5808 X=477983678 Y=1305874515 Z=67541837929 M=7226
A=3493 B=6728 C=5037 X=256381066 Y=1471587003 Z=50907529037 M=7149
A=9129 B=8743 C=7820 X=526401350 Y=6722251375 Z=94630004683 M=3244
A=2501 B=5977 C=7196 X=767032000 Y=9522012785 Z=20486003434 M=3885
A=9891 B=7729 C=8041 X=455660358 Y=1820988667 Z=50984417769 M=3975
A=3158 B=7687 C=6323 X=361509741 Y=9011288257 Z=19306194714 M=8388
A=8200 B=7007 C=7896 X=271620402 Y=3942697209 Z=10780529926 M=6874
A=7984 B=5147 C=8293 X=390652221 Y=2928736887 Z=98969435981 M=7908
A=8772 B=8620 C=7314 X=280128263 Y=9526214230 Z=77338282628 M=7665
A=8808 B=5250 C=9015 X=256461624 Y=7698703366 Z=20725067225 M=2589
A=9634 B=5535 C=7709 X=572949028 Y=1120387473 Z=79188632992 M=5245
A=2248 B=5254 C=6106 X=198900049 Y=3882231387 Z=77406128153 M=5715
A=3413 B=9744 C=5537 X=369636994 Y=2779079040 Z=92411685943 M=1071
A=5127 B=9155 C=9518 X=793592436 Y=5850956007 Z=67545029300 M=1148
A=6255 B=4448 C=8254 X=915284419 Y=4575330627 Z=64430391285 M=2020
A=6772 B=4096 C=6218 X=962693776 Y=9099115426 Z=51608816878 M=6982
A=6706 B=8373 C=9681 X=701196978 Y=8641488068 Z=13859693009 M=1444
A=2463 B=3396 C=9106 X=156223782 Y=4658721368 Z=13147971536 M=3220
A=4848 B=8638 C=8866 X=637731102 Y=5799977859 Z=48936146656 M=6120
A=8679 B=4528 C=8122 X=959640760 Y=7384902703 Z=53635484664 M=7126
A=8706 B=8797 C=7915 X=970386908 Y=9320399226 Z=38458479588 M=2075
A=4991 B=5475 C=6609 X=747424652 Y=5469684369 Z=34532014742 M=3646
A=8897 B=9333 C=9294 X=573387689 Y=5034630555 Z=50961451369 M=4466
A=4770 B=5715 C=7469 X=755450865 Y=6246276041 Z=45172468515 M=7913
A=5061 B=9151 C=6669 X=159673553 Y=7156218601 Z=18279819402 M=4380
A=2609 B=6047 C=7528 X=344173793 Y=6186773294 Z=33591550992 M=8252
A=4947 B=8449 C=9749 X=991125907 Y=3236692528 Z=13484193020 M=1708
A=8671 B=7909 C=9784 X=334379912 Y=3692062636 Z=46701356769 M=2523
A=7732 B=5645 C=5752 X=167901544 Y=5947827952 Z=19780690671 M=1321
A=5508 B=8096 C=8629 X=685618564 Y=4515479711 Z=62224552054 M=3365
A=4874 B=8542 C=5307 X=131328110 Y=4368663366 Z=60249445645 M=8964
A=2958 B=8893 C=9542 X=372002224 Y=9274740585 Z=35751111443 M=1212
A=7513 B=3496 C=8149 X=301833646 Y=9966173697 Z=52785487022 M=5420
A=4701 B=4312 C=6407 X=816791946 Y=1494249817 Z=37974759055 M=4521
A=8703 B=6521 C=5951 X=731508575 Y=6287205766 Z=76064870871 M=7904
A=3822 B=3110 C=6256 X=850970468 Y=1953293736 Z=44728254337 M=8795
A=6970 B=6127 C=7164 X=821737374 Y=6758296751 Z=92989388703 M=9706
A=4284 B=3098 C=5743 X=382836820 Y=5916237505 Z=26233693341 M=7129
A=5370 B=7600 C=5429 X=141647798 Y=5343183932 Z=95970551112 M=6322
A=8935 B=5098 C=5499 X=773541592 Y=5284419239 Z=74475157172 M=7063
A=8418 B=4587 C=9551 X=155094009 Y=1071445041 Z=29820978366 M=6675
A=2854 B=5738 C=8220 X=665253670 Y=7550107570 Z=74515150607 M=4161
A=6504 B=3146 C=9787 X=534135335 Y=6609118354 Z=43957477472 M=1963
A=7119 B=4230 C=6645 X=293688018 Y=7462319197 Z=79330301062 M=3518
A=8332 B=6577 C=8902 X=663777839 Y=9635000066 Z=26736358190 M=1268
A=6653 B=4114 C=7657 X=668371215 Y=9418900580 Z=38500325347 M=6410
A=5471 B=3733 C=9667 X=219319467 Y=8218596606 Z=12668064905 M=1342
A=7516 B=8014 C=7793 X=858886433 Y=5990212260 Z=96573411982 M=7604
A=8746 B=7455 C=9011 X=123267412 Y=1862356861 Z=82502576473 M=3679
A=6273 B=7590 C=9892 X=505313715 Y=2096528353 Z=38362599188 M=6614
A=6640 B=7937 C=6300 X=712268517 Y=6240650917 Z=78060649480 M=7695
A=8521 B=6039 C=9087 X=752614406 Y=1061230306 Z=80976125934 M=9381
A=4911 B=3486 C=7677 X=337540657 Y=8140361567 Z=54044572722 M=1940
A=3362 B=3122 C=5760 X=693910640 Y=8615637187 Z=69496206258 M=3032
A=7692 B=9311 C=5939 X=142352790 Y=5026063702 Z=19315250371 M=7380
A=3783 B=6806 C=9171 X=598765372 Y=8215327626 Z=48281458668 M=8969
A=3174 B=5048 C=5365 X=800879693 Y=3081171636 Z=89890552663 M=7406
A=7863 B=8661 C=8161 X=882569943 Y=9256627257 Z=53320366601 M=8297
A=2349 B=7228 C=8819 X=369573743 Y=1377295211 Z=51328544737 M=7755
A=9641 B=6734 C=6444 X=187586597 Y=3355100064 Z=11481303113 M=1160
A=8878 B=6103 C=7867 X=123794089 Y=9289632121 Z=94841214355 M=3568
A=7166 B=5675 C=5072 X=199202179 Y=6595278360 Z=94801895021 M=8660
A=7358 B=9690 C=7406 X=558646505 Y=2142036992 Z=45823389907 M=7287
A=6689 B=4016 C=5546 X=379262779 Y=6545801346 Z=84213225631 M=7659
A=5843 B=4417 C=7542 X=687454803 Y=8056027375 Z=73108106255 M=6604
A=9777 B=3020 C=6657 X=356288389 Y=8377034094 Z=92052853354 M=7394
A=6723 B=5000 C=9201 X=286618153 Y=2206204179 Z=32504908927 M=7438
A=9053 B=9082 C=8988 X=855651687 Y=8832982658 Z=33296723013 M=5804
A=4162 B=6779 C=9963 X=555069165 Y=4716863848 Z=86769484640 M=5122
A=7157 B=7251 C=6793 X=721253873 Y=6047603693 Z=30114423745 M=3904
A=3859 B=9369 C=6119 X=104723780 Y=7169912007 Z=89751014000 M=9837
A=4229 B=7639 C=8636 X=257255056 Y=7490748429 Z=42671959265 M=5115
A=6240 B=5772 C=5999 X=289435953 Y=5115063133 Z=53528079300 M=5818
A=5122 B=9988 C=5228 X=756924932 Y=1670326549 Z=47277856913 M=1326
A=8239 B=3351 C=5000 X=297798629 Y=4663163286 Z=38179809736 M=7994
A=7766 B=3921 C=7214 X=251478191 Y=9567070837 Z=78505695680 M=8862
A=7578 B=4038 C=8661 X=468498329 Y=6387967997 Z=56824743061 M=4791
A=2093 B=3495 C=5802 X=429707994 Y=2263410423 Z=38873001915 M=6058
A=5608 B=6138 C=5149 X=457678436 Y=3832899288 Z=77012345460 M=8289
A=7121 B=4707 C=6448 X=564356130 Y=7347337685 Z=46031993848 M=4332
A=8932 B=9316 C=7601 X=716590263 Y=1203850101 Z=31551900542 M=6938
A=5549 B=6610 C=9886 X=291765514 Y=6710245077 Z=19715087953 M=8778
A=2914 B=7956 C=9465 X=771767655 Y=8094707947 Z=45105979515 M=3034
A=7525 B=4615 C=7460 X=348835762 Y=7629536900 Z=33745718434 M=9552
A=7575 B=6274 C=8358 X=656249632 Y=4194545354 Z=10196210324 M=7440
A=3158 B=4801 C=9139 X=695656579 Y=6575937276 Z=33163656738 M=4249
A=6301 B=6932 C=9427 X=191755839 Y=5961867216 Z=56078889316 M=3723
A=8121 B=7254 C=9683 X=646879124 Y=8766332752 Z=68511884862 M=8164
A=4177 B=7159 C=6870 X=272759855 Y=1793435493 Z=72830607835 M=9229
A=2219 B=8090 C=9623 X=588893400 Y=8774600992 Z=17364541965 M=9911
A=6063 B=6761 C=9720 X=613457017 Y=6154961299 Z=22499681410 M=7139
A=6512 B=3986 C=8323 X=989292635 Y=3275168633 Z=75435464143 M=4361
A=2161 B=5459 C=7290 X=618664574 Y=1707848358 Z=47252754528 M=9619
A=8475 B=4455 C=7456 X=870390480 Y=8958933383 Z=80457592786 M=6399
A=2540 B=3483 C=9776 X=125934487 Y=6684798271 Z=39358776031 M=5776
A=5634 B=4990 C=6962 X=472665632 Y=7871311308 Z=39690185927 M=9201
A=6658 B=3885 C=5105 X=854206920 Y=1906242689 Z=90298784632 M=4960
A=5534 B=9666 C=8417 X=797293736 Y=2348344495 Z=57720647501 M=8796
A=5957 B=3731 C=6144 X=499183601 Y=4388316282 Z=88443712517 M=3767
A=8286 B=8380 C=6391 X=952125511 Y=1703300378 Z=71376875237 M=8378
A=5549 B=8152 C=8407 X=763474803 Y=2611590311 Z=16650948105 M=6103
A=4061 B=4881 C=7798 X=519449106 Y=2843034817 Z=85491237542 M=5817
A=7673 B=6981 C=6519 X=187411549 Y=3648968258 Z=23163297015 M=5521
A=3993 B=4204 C=7577 X=561527635 Y=5769029442 Z=29810860481 M=5592
A=2372 B=8205 C=7028 X=150586132 Y=3812150353 Z=45276016050 M=2216
A=4465 B=3922 C=8952 X=214058007 Y=3904519917 Z=52981372058 M=4067
A=5879 B=6582 C=6217 X=161552010 Y=1510480569 Z=50085771052 M=6708
A=5253 B=9115 C=9593 X=969533989 Y=9414149403 Z=98988061997 M=6195
A=4485 B=4538 C=7968 X=422113764 Y=6687337265 Z=66449512696 M=4957
A=6818 B=4678 C=9354 X=984739652 Y=6834769831 Z=35362384930 M=9177
A=5855 B=6065 C=7724 X=442295671 Y=2909476464 Z=28932724055 M=3165
A=8859 B=5602 C=9837 X=774541697 Y=4498925629 Z=97462585551 M=7328
A=7074 B=8801 C=6954 X=573393334 Y=2560568051 Z=85307719870 M=8549
A=2124 B=7855 C=6921 X=792667457 Y=7114332930 Z=27086804017 M=1827
A=3657 B=5461 C=7324 X=346965783 Y=3219347288 Z=83313465254 M=5091
A=2852 B=9122 C=6027 X=170903476 Y=3326784701 Z=40397760698 M=1075
A=7703 B=3860 C=8915 X=868658545 Y=5816561572 Z=12970973022 M=2263
A=6139 B=8653 C=8320 X=916635475 Y=1593360237 Z=35866421160 M=8138
A=2458 B=5881 C=6782 X=336095883 Y=7682108671 Z=35115077180 M=7206
A=7803 B=4986 C=7849 X=236907192 Y=9854502568 Z=89075385345 M=5758
A=7899 B=7589 C=6774 X=121883931 Y=9800869590 Z=40085146648 M=9599
A=2331 B=8022 C=9946 X=445427985 Y=8796842029 Z=20053416955 M=5271
A=7522 B=6573 C=8683 X=678189236 Y=7437986424 Z=50464205155 M=7698
A=8848 B=6080 C=7465 X=255940965 Y=2182728040 Z=67205924264 M=3596
A=2118 B=9122 C=9643 X=298760801 Y=6485283426 Z=15203341585 M=8406
A=9193 B=4276 C=8202 X=177519546 Y=2199919668 Z=40410019476 M=5032
A=5139 B=4143 C=6876 X=726144395 Y=9029223798 Z=54170943456 M=8427
A=7329 B=7445 C=7831 X=276537354 Y=8314580666 Z=79940481372 M=7527
A=7967 B=8156 C=7605 X=205534391 Y=8904286497 Z=32527376235 M=7995
A=8389 B=9340 C=6695 X=669902245 Y=1380155861 Z=61201316166 M=7004
A=4362 B=9490 C=6458 X=446979928 Y=1357180423 Z=93219277597 M=2642
A=5659 B=9917 C=6635 X=627039591 Y=2238596271 Z=61450142051 M=3719
A=2731 B=9902 C=7291 X=482448130 Y=6681270771 Z=77805263844 M=8584
A=9393 B=9314 C=7913 X=618652466 Y=5510833348 Z=69539620501 M=6515
A=4492 B=5392 C=8845 X=969242683 Y=4296210944 Z=61084185691 M=3214
A=8542 B=9256 C=6113 X=897749072 Y=2178720383 Z=55034208549 M=9486
A=2843 B=8224 C=7923 X=558864131 Y=8605045652 Z=67615047974 M=4641
A=8268 B=4750 C=6443 X=324537671 Y=4003477309 Z=46612324338 M=1830
A=7919 B=9854 C=8200 X=714482667 Y=3438085441 Z=71563118072 M=7066
A=4620 B=7261 C=6098 X=611198553 Y=3150610245 Z=76805366703 M=8060
A=4606 B=5967 C=6581 X=217830586 Y=8150014899 Z=64279934121 M=2909
A=7847 B=3099 C=6828 X=833449491 Y=4768568644 Z=99060161207 M=4146
A=3130 B=7240 C=7745 X=146684156 Y=5169493422 Z=72984821933 M=7671
A=6011 B=9674 C=8260 X=789943910 Y=7880513228 Z=90852318620 M=8986
A=8875 B=4265 C=5051 X=194925763 Y=4545829760 Z=96368269774 M=9377
A=8441 B=3313 C=9247 X=379800977 Y=9513496351 Z=45603559201 M=3778
A=7687 B=5287 C=7276 X=209820286 Y=6055279271 Z=80402779038 M=6560
A=6208 B=4220 C=5568 X=257031870 Y=8437033944 Z=93761224469 M=9395
A=3048 B=5377 C=5035 X=370342709 Y=1320694666 Z=15198516777 M=4854
A=9293 B=5849 C=6031 X=201334353 Y=8086220205 Z=21272558397 M=5858
A=5233 B=8318 C=8811 X=883222603 Y=3340961588 Z=84675213664 M=9816
A=2559 B=8638 C=6887 X=524606897 Y=8569668568 Z=37240694770 M=4943
A=5224 B=9652 C=9548 X=209991756 Y=6494519571 Z=15507358512 M=5139
A=2214 B=9752 C=7608 X=396206206 Y=2315464661 Z=40432249183 M=1407
A=6621 B=9172 C=6140 X=692370460 Y=1030669625 Z=27020591346 M=9254
A=7295 B=9304 C=9505 X=887107781 Y=3641596550 Z=72496124621 M=8122
A=6861 B=9058 C=8780 X=804054284 Y=7999703202 Z=40228968995 M=5707
